month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7168,7149,假日,4,27.89,14.44,2.89,10.56,62.36,37.64,1.35,5.45,5.58,9.93,2.7,7.58,4.23,6.96,21.18,35.06,74.36,2.41,11.49,2.95,0,0.69,0.61,0.96,0.27,0,0,0,0,2.22,0.63,2.22,0.51,0.68,0,0,0,0
202412,7169,7147,假日,4,10.11,2.78,0.89,6.44,51.72,48.28,0,2.5,5.42,3.15,21.34,9.12,8.1,5.69,12.73,31.94,87.8,3.62,2.52,1.51,1.01,0,0,1.94,0,0,0,0,0,0,0,1.01,0.58,0,0,0,0,0
202412,7169,7148,假日,4,7.44,1.89,0.56,5,50.67,49.33,1.23,0,4.21,4.01,5.8,10.38,6.02,11.46,8.49,48.39,94.07,1.23,2.22,0,1.23,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0
202412,7165,7152,假日,5,16,1.22,3.33,11.44,55.96,44.04,0.79,1.3,7.42,3.7,7.42,3.89,9.55,5.97,15.58,44.39,76.67,1.06,9.72,1.23,2.31,0,0,2.9,0.79,0.53,0,0,0,0.79,0.53,0,1.73,0.62,1.11,0,0,0
202412,7165,7153,假日,5,60.67,21.22,9.67,29.78,59.95,40.05,0.52,1.96,3.94,5.4,4.76,6.68,9.73,12.81,13.52,40.69,76.27,4.46,11.22,1.64,1.38,0.37,0.19,1.25,0.21,0,0,0,0.51,0.58,0.51,0.16,0.7,0.17,0.4,0,0,0
202412,7165,7154,假日,5,56.78,24.78,6.33,25.67,60.33,39.67,0.64,1.7,3.21,5.65,6.87,3.9,7.37,16.01,14.05,40.61,77.86,3.41,8.08,2.89,0.4,0.4,0.38,1.39,0,0,0.46,0,0,0.87,1.63,0,1.85,0.23,0,0,0,0.17
202412,7166,7150,假日,5,13.89,0.78,2.56,10.56,48.47,51.53,1.11,9.25,6.61,6.13,4.14,6.69,7.68,8.23,13.41,36.75,89.59,2.78,3.07,0,0,0,0,1.11,0.53,0,0,0,0,0,2.23,0,0.69,0,0,0,0,0
202412,7166,7151,假日,5,25.78,11.67,3.67,10.44,52,48,2.31,2.69,3.27,5.69,4.64,4.52,9.07,9.82,15.75,42.25,81.42,2.18,8.42,0.67,0,0,0.32,1.04,0.33,1.05,0.36,0,0,0.35,1.47,0,1.37,1.02,0,0,0,0
202412,7166,7152,假日,5,39.11,20.22,6.11,12.78,54.27,45.73,0.21,2.86,3.34,3.76,4.78,4.31,10.27,16.25,13.7,40.5,78.15,3.6,6.36,1.14,0.55,0.35,0,3.83,0.26,0.35,0,0,0,0.69,1.76,0,2.74,0,0,0.21,0,0
202412,7166,7153,假日,5,19,3.78,2.89,12.33,57.18,42.82,0.56,3.99,4.5,6.51,7.3,5.11,9.6,10.3,12.66,39.48,76.08,5.79,6.39,1.17,1.28,0.53,0,1.28,0,0.43,0.74,0,0,1.39,1.38,0.65,0.53,1.7,0.65,0,0,0
